Rang,Gewählter Beruf,Total,Anteil in %,Frauen,Männer
,"Total",7477,100.00,3277,4200
1,"Kaufmann/Kauffrau Erw. Grundbildung (E-Profil)",1446,19.34,866,580
2,"Detailhandelsfachmann/-frau Beratung EFZ",393,5.26,224,169
3,"Fachmann/-frau Gesundheit EFZ",287,3.84,260,27
4,"Elektroinstallateur/in EFZ",275,3.68,3,272
5,"Kaufmann/Kauffrau Basisbildung (B-Profil)",216,2.89,137,79
6,"Fachmann/-frau Betreuung (Kinderbetreuung) EFZ",215,2.88,210,5
7,"Koch/Köchin EFZ",208,2.78,58,150
8,"Polymechaniker/in EFZ",194,2.59,4,190
9,"Coiffeur/-euse EFZ",155,2.07,144,11
9,"Dentalassistent/in EFZ",155,2.07,153,2
11,"Med. Praxisassistent/in EFZ",134,1.79,132,2
12,"Detailhandelsfachmann/-frau  Bewirtschaftung EFZ",131,1.75,79,52
13,"Automobil-Fachmann/-frau (Personenwagen) EFZ",124,1.66,2,122
14,"Gärtner/in (Garten- u. Landschaftsbau)",115,1.54,10,105
15,"Detailhandelsassistent/in EBA",113,1.51,76,37
15,"Zeichner/in (Architektur) EFZ",113,1.51,43,70
17,"Pharma-Assistent/in EFZ",110,1.47,109,1
18,"Logistiker/in EFZ",105,1.40,11,94
19,"Zimmermann/Zimmerin",104,1.39,0,104
20,"Fachmann/-frau Betriebsunterhalt EFZ",93,1.24,6,87
21,"Sanitärinstallateur/in EFZ",89,1.19,0,89
22,"Automatiker/in EFZ",87,1.16,0,87
22,"Informatiker/in (Systemtechnik) EFZ",87,1.16,3,84
22,"Schreiner/in (Möbel/Innenausbau)",87,1.16,7,80
25,"Informatiker/in (Applikationsentwicklung) EFZ",83,1.11,8,75
25,"Maler/in",83,1.11,34,49
27,"Konstrukteur/in EFZ",82,1.10,11,71
28,"Maurer/in EFZ",78,1.04,0,78
29,"Elektroniker/in EFZ",67,0.90,2,65
30,"Restaurationsfachmann/-frau EFZ",64,0.86,51,13
31,"Metallbauer/in EFZ",62,0.83,1,61
32,"Informatiker/in (Generalistische Ausbildung) EFZ",60,0.80,3,57
33,"Automobil-Mechatroniker/in (Personenwagen) EFZ",58,0.78,3,55
34,"Bäcker-Konditor-Confiseur/-in EFZ",57,0.76,36,21
35,"Fachmann/-frau Betreuung (Betagtenbetreuung) EFZ",56,0.75,51,5
36,"Logistiker/in EBA",53,0.71,3,50
37,"Hotelfachmann/-frau EFZ",49,0.66,45,4
38,"Zeichner/in (Ingenieurbau) EFZ",45,0.60,7,38
39,"Montage-Elektriker/in EFZ",42,0.56,1,41
40,"Augenoptiker/in EFZ",41,0.55,28,13
41,"Informatiker/in (Support) EFZ",39,0.52,7,32
41,"Produktionsmechaniker/in EFZ",39,0.52,1,38
43,"Drogist/in EFZ",35,0.47,33,2
44,"Landwirt/in EFZ",34,0.45,2,32
45,"Elektroplaner/in EFZ",31,0.41,2,29
45,"Florist/in EFZ",31,0.41,31,0
47,"Automobil-Mechatroniker/in (Nutzfahrzeuge) EFZ",30,0.40,1,29
47,"Heizungsinstallateur/in EFZ",30,0.40,0,30
49,"Laborant/in (Chemie) EFZ",29,0.39,6,23
50,"Landmaschinenmechaniker/in EFZ",27,0.36,0,27
51,"Carrossier/in Spenglerei EFZ",26,0.35,1,25
52,"Carrossier/in Lackiererei EFZ",25,0.33,2,23
53,"Fachmann/-frau Betreuung (Generalist. Ausb.) EFZ",24,0.32,20,4
53,"Pflegeassistent/in",24,0.32,20,4
55,"Anlagen- und Apparatebauer/in",22,0.29,2,20
56,"Büroassistent/in EBA",21,0.28,13,8
56,"Drucktechnologe/-login EFZ",21,0.28,9,12
56,"Fachmann/-frau Hauswirtschaft EFZ",21,0.28,16,5
59,"Automobil-Assistent/in EBA",20,0.27,0,20
59,"Forstwart/in EFZ",20,0.27,0,20
59,"Polygraf/in (Mediengestaltung) EFZ",20,0.27,12,8
59,"Schreiner/in (Bau/Fenster)",20,0.27,1,19
59,"Schreinerpraktiker/in EBA",20,0.27,0,20
64,"Geomatiker/in EFZ",19,0.25,1,18
65,"Bekleidungsgestalter/in (Damenbekleidung)",17,0.23,17,0
65,"Gestalter/in Werbetechnik EFZ",17,0.23,9,8
65,"Hauswirtschaftspraktiker/in EBA",17,0.23,16,1
65,"Tiermed. Praxisassistent/in EFZ",17,0.23,16,1
69,"Fleischfachmann/-frau EFZ",16,0.21,1,15
69,"Verkehrswegbauer/in: Strassenbauer/in",16,0.21,0,16
71,"Automatikmonteur/in EFZ",15,0.20,0,15
71,"Gärtner/in (Zierpflanzen)",15,0.20,11,4
71,"Haustechnikpraktiker/in EBA",15,0.20,2,13
71,"Mediamatiker/in EFZ",15,0.20,4,11
71,"Restaurationsangestellte/r EBA",15,0.20,12,3
76,"Automobil-Fachmann/-frau (Nutzfahrzeuge) EFZ",14,0.19,0,14
76,"Informatikpraktiker/in EBA",14,0.19,0,14
76,"Multimediaelektroniker/in",14,0.19,0,14
76,"Polydesigner/in 3D EFZ (Dekorationsgestalter)",14,0.19,10,4
80,"Fachmann/-frau Betreuung (Behindertenbetreung) EFZ",13,0.17,13,0
80,"Spengler/in EFZ",13,0.17,0,13
80,"Zeichner/in (Raumplanung) EFZ",13,0.17,2,11
83,"Gebäudetechnikplaner/in Heizung EFZ",12,0.16,2,10
84,"Bäcker-Konditor-Confiseur/-in EBA",11,0.15,7,4
84,"Baumaschinenmechaniker/in EFZ",11,0.15,0,11
84,"Buchhändler/in EFZ",11,0.15,8,3
84,"Gipser/in",11,0.15,0,11
84,"Maurer/in  (Tiefbau)",11,0.15,0,11
89,"Kosmetiker/in EFZ",10,0.13,10,0
89,"Lastwagenführer/in",10,0.13,3,7
89,"Lebensmitteltechnologe/-login",10,0.13,2,8
89,"Mechanikpraktiker/in EBA",10,0.13,0,10
89,"Netzelektriker/in",10,0.13,0,10
89,"Physiklaborant/in",10,0.13,1,9
89,"Polygraf/in (Medienproduktion) EFZ",10,0.13,5,5
89,"Zweiradmechaniker/in (Fahrräder)",10,0.13,0,10
97,"Anlehre: Technische Berufe",9,0.12,2,7
97,"Anlehre: Übrige Berufe",9,0.12,4,5
97,"Fotofachmann/-frau EFZ (Beratung und Verkauf)",9,0.12,5,4
97,"Küchenangestellte/r EBA",9,0.12,1,8
97,"Zahntechniker/in EFZ",9,0.12,3,6
102,"Anlehre: Baugewerbe, Malerei",8,0.11,2,6
102,"Gebäudetechnikplaner/in Lüftung EFZ",8,0.11,1,7
102,"Haustechnikplaner/in (Kälte)",8,0.11,1,7
102,"Motorradmechaniker/in EFZ",8,0.11,0,8
102,"Reifenpraktiker/in EBA",8,0.11,0,8
102,"Strassenbaupraktiker/in EBA",8,0.11,0,8
108,"Florist/in EBA",7,0.09,7,0
108,"Gebäudereiniger/in EFZ",7,0.09,1,6
108,"Hotellerieangestellte/r EBA",7,0.09,5,2
108,"Innendekorateur/in",7,0.09,6,1
108,"Laborant/in (Biologie) EFZ",7,0.09,1,6
108,"Pferdewart/in EBA",7,0.09,4,3
108,"Telematiker/in EFZ",7,0.09,0,7
115,"Bodenleger/in (Parkett)",6,0.08,0,6
115,"Bühnentänzer/in EFZ",6,0.08,3,3
115,"Fachmann/-frau Kundendialog EFZ",6,0.08,3,3
115,"Recyclist/in EFZ",6,0.08,0,6
115,"Tierpfleger/in EFZ",6,0.08,6,0
120,"Anlehre: INSOS Pra",5,0.07,1,4
120,"Anlehre: Landwirtsch., Gartenbau, Forstwirtschaft",5,0.07,2,3
120,"Bodenleger/in (Textile und elastische Beläge)",5,0.07,0,5
120,"Fachmann/-frau Information u. Dokumentation EFZ",5,0.07,4,1
120,"Lebensmittelpraktiker/in EBA",5,0.07,1,4
120,"Lüftungsanlagenbauer/in EFZ",5,0.07,0,5
120,"Plattenleger/in EFZ",5,0.07,0,5
120,"Polybauer/in (Dachdecken) EFZ",5,0.07,0,5
120,"Zeichner/in (Innenarchitektur) EFZ",5,0.07,2,3
129,"Anlehre: Carrosseriereparateur/in",4,0.05,0,4
129,"Anlehre: Haustechnik",4,0.05,0,4
129,"Anlehre: Verkauf",4,0.05,1,3
129,"Fotofachmann/-frau EFZ (Finishing)",4,0.05,3,1
129,"Goldschmied/in (Goldschmieden) EFZ",4,0.05,1,3
129,"Grundbaupraktiker/in EBA",4,0.05,0,4
129,"Industrielackierer/in EFZ",4,0.05,1,3
129,"Kunststofftechnologe/-login EFZ",4,0.05,0,4
129,"Metallbaukonstrukteur/in EFZ",4,0.05,1,3
129,"Milchtechnologe/-login EFZ",4,0.05,0,4
129,"Motorgerätemechaniker/in EFZ",4,0.05,0,4
129,"Pferdefachmann/-frau (Pferdepflege) EFZ",4,0.05,4,0
129,"Podologe/-login EFZ",4,0.05,4,0
129,"Polybaupraktiker/in EBA",4,0.05,1,3
129,"Zweiradmechaniker/in (Kleinmotorräder)",4,0.05,0,4
144,"Agrarpraktiker/in EBA",3,0.04,1,2
144,"Anlehre: Gastgewerbe, Hauswirtschaft",3,0.04,2,1
144,"Anlehre: Körperpflege",3,0.04,3,0
144,"Anlehre: Nahrungsmittel und Getränke",3,0.04,1,2
144,"Bootbauer/in",3,0.04,0,3
144,"Bootfachwart/in",3,0.04,0,3
144,"Fotofachmann/-frau EFZ (Fotografie)",3,0.04,3,0
144,"Gärtner/in (Stauden)",3,0.04,1,2
144,"Gebäudetechnikplaner/in Sanitär EFZ",3,0.04,2,1
144,"Gemüsegärtner/in EFZ",3,0.04,2,1
144,"Glaser/in EFZ",3,0.04,0,3
144,"Grafiker/in EFZ",3,0.04,0,3
144,"Kältemonteur/in",3,0.04,0,3
144,"Metallbaupraktiker/in EBA",3,0.04,0,3
144,"Storenmonteur/in",3,0.04,1,2
144,"Verkehrswegbauer/in: Gleisbauer/in",3,0.04,0,3
144,"Verkehrswegbauer/in: Grundbauer/in",3,0.04,0,3
161,"Anlehre: Büro, Verwaltung",2,0.03,0,2
161,"Anlehre: Fahrzeuge",2,0.03,0,2
161,"Anlehre: Malerei",2,0.03,2,0
161,"Anlehre: Metallbearbeitung, Maschinenbau",2,0.03,0,2
161,"Anlehre: Postangestellte/r",2,0.03,1,1
161,"Architekturmodellbauer/in",2,0.03,1,1
161,"Bekleidungsgestalter/in (Modisterei)",2,0.03,2,0
161,"Carrosseriesattler/in",2,0.03,0,2
161,"Fachmann/-frau für med. techn. Radiologie",2,0.03,1,1
161,"Fahrzeugschlosser/in EFZ",2,0.03,0,2
161,"Gerüstmonteur/in",2,0.03,0,2
161,"Gipser/in und Maler/in",2,0.03,1,1
161,"Glasmaler/in EFZ",2,0.03,1,1
161,"Goldschmied/in (Edelsteinfassen) EFZ",2,0.03,0,2
161,"Isolierspengler/in",2,0.03,0,2
161,"Kaminfeger/in EFZ",2,0.03,1,1
161,"Oberflächenbeschichter/in EFZ",2,0.03,0,2
161,"Orthopädist/in EFZ",2,0.03,0,2
161,"Printmedienverarbeiter/in (Bindetechnik) EFZ",2,0.03,1,1
161,"Printmedienverarbeiter/in (Buchbinderei) EFZ",2,0.03,0,2
161,"Printmedienverarbeiter/in (Druckausrüstung) EFZ",2,0.03,1,1
161,"Säger/in Holzindustrie EFZ",2,0.03,0,2
161,"Seilbahner/in EBA",2,0.03,1,1
161,"Textiltechnologe/-login (Design) EFZ",2,0.03,2,0
161,"Uhrmacher/in (Industrie)",2,0.03,0,2
161,"Verpackungstechnologe/-login EFZ",2,0.03,1,1
161,"Winzer/in EFZ",2,0.03,1,1
161,"Zeichner/in (Landschaftsarchitektur) EFZ",2,0.03,1,1
189,"Anlagenführer/in EFZ",1,0.01,0,1
189,"Anlehre: Fahrzeugmaler/in",1,0.01,0,1
189,"Anlehre: Textil und Bekleidung",1,0.01,1,0
189,"Attest: Baugewerbe, Malerei",1,0.01,0,1
189,"Bauwerktrenner/in EFZ",1,0.01,0,1
189,"Bekleidungsgestalter/in (Kürschnerei)",1,0.01,1,0
189,"Betonwerker/in EFZ",1,0.01,0,1
189,"Chemie- und Pharmatechnologe/-login EFZ",1,0.01,0,1
189,"Dachdecker/in",1,0.01,0,1
189,"Diätkoch/-köchin EFZ",1,0.01,1,0
189,"Feinwerkoptiker/in",1,0.01,1,0
189,"Flachdachbauer/in",1,0.01,0,1
189,"Fleischfachassistent/in EBA",1,0.01,1,0
189,"Flexodrucker/in EFZ",1,0.01,0,1
189,"Gärtner/in (Baumschule)",1,0.01,0,1
189,"Ind.u.Unterlagsbodenbauerpraktiker/in EBA",1,0.01,0,1
189,"Kunststoffverarbeiter/in EBA",1,0.01,0,1
189,"Müller/in (Lebensmittel)",1,0.01,0,1
189,"Oberflächenpraktiker/in EBA",1,0.01,0,1
189,"Orthopädie-Schuhmacher/in EFZ",1,0.01,0,1
189,"Papiertechnologe/-login EFZ",1,0.01,0,1
189,"Pferdefachmann/-frau (Gangpferdereiten) EFZ",1,0.01,1,0
189,"Pferdefachmann/-frau (Klassisches Reiten) EFZ",1,0.01,1,0
189,"Pferdefachmann/-frau (Pferderennsport) EFZ",1,0.01,1,0
189,"Polybauer/in (Abdichten) EFZ",1,0.01,0,1
189,"Polybauer/in (Gerüstbau) EFZ",1,0.01,0,1
189,"Siebdrucker/in",1,0.01,1,0
189,"Steinbildhauer/in EFZ",1,0.01,0,1
189,"Textiltechnologe/-login (Veredlung) EFZ",1,0.01,0,1
189,"Uhrmacher/in (Rhabillage)",1,0.01,0,1
189,"Weintechnologe/-login EFZ",1,0.01,0,1
189,"Wohntextilgestalter/in EFZ",1,0.01,1,0
